nct_id,brief_title,question_type,question,expected_answer,source_section,source_page,difficulty,annotated,notes
NCT03425643,"Efficacy and Safety of Pembrolizumab (MK-3475) With Platinum Doublet Chemotherapy as Neoadjuvant/Adjuvant Therapy for Participants With Resectable Stage II, IIIA, and Resectable IIIB (T3-4N2) Non-small Cell Lung Cancer (MK-3475-671/KEYNOTE-671)",results_primary,N/A,N/A,N/A,,,True,
NCT04194944,A Study of Selpercatinib (LY3527723) in Participants With Advanced or Metastatic RET Fusion-Positive Non-Small Cell Lung Cancer,results_primary,N/A,N/A,N/A,,,True,
NCT03663205,A Study Evaluating the Efficacy and Safety of Tislelizumab Versus Chemotherapy in Advanced Non-Squamous Non-small Cell Lung Cancer,eligibility_inclusion,What are the inclusion criteria for participants in the clinical trial NCT03663205?,N/A,N/A,,,True,
NCT03447769,Brief Title: Study of Efficacy and Safety of Canakinumab as Adjuvant Therapy in Adult Subjects With Stages AJCC/UICC v. 8 II-IIIA and IIIB (T>5cm N2) Completely Resected Non-small Cell Lung Cancer Acronym: CANOPY-A,statistical_analysis,N/A,N/A,N/A,,,True,
NCT05089734,Study of Sacituzumab Govitecan (SG) Versus Docetaxel in Participants With Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC),statistical_analysis,N/A,N/A,N/A,,,True,
NCT04676412,Efficacy and Safety Study of Pembrolizumab (MK-3475) With or Without Lenvatinib (MK-7902/E7080) in Adults With Programmed Cell Death-Ligand 1 (PD-L1)-Positive Treatment-naïve Nonsmall Cell Lung Cancer (NSCLC) [MK-7902-007/E7080-G000-314/LEAP-007] - China Extension Study,results_primary,What were the primary results of the clinical trial NCT04676412?,N/A,N/A,,,True,
NCT03515837,Study of Pemetrexed + Platinum Chemotherapy With or Without Pembrolizumab (MK-3475) in Adults With Tyrosine Kinase Inhibitor- (TKI)-Resistant Epidermal Growth Factor Receptor- (EGFR)-Mutated Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC) (MK-3475-789/KEYNOTE-789),ai_innovation,What AI innovations were implemented in the clinical trial NCT03515837?,N/A,N/A,,,True,
NCT05740566,Study Comparing Tarlatamab With Standard of Care Chemotherapy in Relapsed Small Cell Lung Cancer,eligibility_inclusion,N/A,N/A,N/A,,,True,
NCT05740566,Study Comparing Tarlatamab With Standard of Care Chemotherapy in Relapsed Small Cell Lung Cancer,secondary_endpoint,What are the secondary endpoints of the clinical trial NCT05740566?,N/A,N/A,,,True,
NCT04035486,A Study of Osimertinib With or Without Chemotherapy as 1st Line Treatment in Patients With Mutated Epidermal Growth Factor Receptor Non-Small Cell Lung Cancer (FLAURA2),results_primary,N/A,N/A,N/A,,,True,
NCT03515837,Study of Pemetrexed + Platinum Chemotherapy With or Without Pembrolizumab (MK-3475) in Adults With Tyrosine Kinase Inhibitor- (TKI)-Resistant Epidermal Growth Factor Receptor- (EGFR)-Mutated Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC) (MK-3475-789/KEYNOTE-789),results_secondary,N/A,N/A,N/A,,,True,
NCT03521154,A Global Study to Assess the Effects of Osimertinib Following Chemoradiation in Patients With Stage III Unresectable Non-small Cell Lung Cancer (LAURA),trial_design,What is the trial design of the clinical trial with NCT ID NCT03521154?,"No context is available for this NCT ID, so details about the trial design cannot be provided.",N/A,,,True,
NCT03976375,Efficacy and Safety of Pembrolizumab (MK-3475) With Lenvatinib (E7080/MK-7902) vs. Docetaxel in Participants With Metastatic Non-Small Cell Lung Cancer (NSCLC) and Progressive Disease (PD) After Platinum Doublet Chemotherapy and Immunotherapy (MK-7902-008/E7080-G000-316/LEAP-008),results_primary,N/A,N/A,N/A,,,True,
NCT03829332,Efficacy and Safety Study of Pembrolizumab (MK-3475) With or Without Lenvatinib (MK-7902/E7080) in Adults With Programmed Cell Death-Ligand 1 (PD-L1)-Positive Treatment-naïve Nonsmall Cell Lung Cancer (NSCLC) (MK-7902-007/E7080-G000-314/LEAP-007),statistical_analysis,What statistical methods were employed in the analysis of the clinical trial NCT03829332?,N/A,N/A,,,True,
NCT03521154,A Global Study to Assess the Effects of Osimertinib Following Chemoradiation in Patients With Stage III Unresectable Non-small Cell Lung Cancer (LAURA),results_secondary,N/A,N/A,N/A,,,True,
NCT05740566,Study Comparing Tarlatamab With Standard of Care Chemotherapy in Relapsed Small Cell Lung Cancer,adverse_events,What adverse events were reported in the clinical trial NCT05740566?,N/A,N/A,,,True,
NCT03703297,"Study of Durvalumab + Tremelimumab, Durvalumab, and Placebo in Limited Stage Small-Cell Lung Cancer in Patients Who Have Not Progressed Following Concurrent Chemoradiation Therapy",results_secondary,What were the secondary outcomes of the clinical trial NCT03703297?,N/A,N/A,,,True,
NCT03447769,Brief Title: Study of Efficacy and Safety of Canakinumab as Adjuvant Therapy in Adult Subjects With Stages AJCC/UICC v. 8 II-IIIA and IIIB (T>5cm N2) Completely Resected Non-small Cell Lung Cancer Acronym: CANOPY-A,trial_design,What is the design of the clinical trial NCT03447769?,N/A,N/A,,,True,
NCT05091567,"A Phase III, Open-Label Study of Maintenance Lurbinectedin in Combination With Atezolizumab Compared With Atezolizumab in Participants With Extensive-Stage Small-Cell Lung Cancer",trial_design,N/A,N/A,N/A,,,True,
NCT03515837,Study of Pemetrexed + Platinum Chemotherapy With or Without Pembrolizumab (MK-3475) in Adults With Tyrosine Kinase Inhibitor- (TKI)-Resistant Epidermal Growth Factor Receptor- (EGFR)-Mutated Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC) (MK-3475-789/KEYNOTE-789),statistical_analysis,What statistical analysis methods were employed in the clinical trial NCT03515837?,N/A,N/A,,,True,
NCT05089734,Study of Sacituzumab Govitecan (SG) Versus Docetaxel in Participants With Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC),secondary_endpoint,What are the secondary endpoints of the clinical trial NCT05089734?,N/A,N/A,,,True,
NCT04194944,A Study of Selpercatinib (LY3527723) in Participants With Advanced or Metastatic RET Fusion-Positive Non-Small Cell Lung Cancer,results_secondary,What were the secondary outcomes of the clinical trial NCT04194944?,N/A,N/A,,,True,
NCT05226598,Study of Pembrolizumab/Vibostolimab Coformulation (MK-7684A) in Combination With Chemotherapy Versus Pembrolizumab Plus Chemotherapy in Participants With Metastatic Non-Small Cell Lung Cancer (MK-7684A-007/KEYVIBE-007),statistical_analysis,N/A,N/A,N/A,,,True,
NCT03425643,"Efficacy and Safety of Pembrolizumab (MK-3475) With Platinum Doublet Chemotherapy as Neoadjuvant/Adjuvant Therapy for Participants With Resectable Stage II, IIIA, and Resectable IIIB (T3-4N2) Non-small Cell Lung Cancer (MK-3475-671/KEYNOTE-671)",primary_endpoint,What is the primary endpoint of the clinical trial NCT03425643?,N/A,N/A,,,True,
NCT03515837,Study of Pemetrexed + Platinum Chemotherapy With or Without Pembrolizumab (MK-3475) in Adults With Tyrosine Kinase Inhibitor- (TKI)-Resistant Epidermal Growth Factor Receptor- (EGFR)-Mutated Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC) (MK-3475-789/KEYNOTE-789),results_primary,N/A,N/A,N/A,,,True,
