nct_id,pmid,title,abstract,xml_file,xml_size_kb,source
NCT04475939,34478166,JASPER: Phase 2 trial of first-line niraparib plus pembrolizumab in patients with advanced non-small cell lung cancer.,"BACKGROUND: Poly(ADP-ribose) polymerase (PARP) inhibitors may synergize with programmed cell death receptor-1 (PD-1) inhibitors to enhance adaptive and innate antitumor immune responses. In the phase 2 JASPER study (NCT04475939), the PARP inhibitor niraparib was evaluated in combination with the PD-1 inhibitor pembrolizumab in patients with metastatic and/or locally advanced non-small cell lung cancer (NSCLC). METHODS: Patients whose tumors had programmed cell death ligand 1 (PD-L1) tumor proportion scores (TPS) ≥50% (cohort 1) or 1%-49% (cohort 2) received first-line niraparib (200 mg once daily) plus pembrolizumab (200 mg every 3 weeks). The primary end point was investigator-assessed objective response rate (ORR). Secondary end points included duration of response (DoR), progression-free survival (PFS), overall survival (OS), safety, and pharmacokinetics. RESULTS: Thirty-eight patients were enrolled in cohorts 1 and 2. In cohort 1, ORR (95% confidence interval [CI]) was 56.3% (9 of 16 patients; 29.9%-80.2%); 2 of 16 patients had complete responses and 7 of 16 had partial responses (PRs). In cohort 2, ORR was 20.0% (5.7%-43.7%) with 4 of 20 PRs. In cohorts 1 and 2, the median DoR was 19.7 months (95% CI, 4.2 months to not estimable [NE]) and 9.4 months (95% CI, 4.2 months to NE), the median PFS was 8.4 months (95% CI, 3.9-22.1 months) and 4.2 months (95% CI, 2.0-6.2 months), and the median OS was NE (95% CI, 6.0 months to NE) and 7.7 months (95% CI, 4.0-12.5 months), respectively. Grade ≥3 treatment-emergent adverse events occurred in 88.2% and 85.7% of patients in cohorts 1 and 2, respectively. Safety was consistent with known profiles of single-agent niraparib and pembrolizumab. CONCLUSIONS: Niraparib plus pembrolizumab showed clinical activity in patients with advanced and/or metastatic NSCLC. LAY SUMMARY: The JASPER clinical trial studied a new combination treatment for advanced or metastatic non-small cell lung cancer (NSCLC). Pembrolizumab, a drug approved f",pubmed_semantic_data\xml_files\NCT04475939_34478166.xml,23.9453125,PubMed
NCT04547504,34156285,First-line pembrolizumab with or without platinum doublet chemotherapy in non-small-cell lung cancer patients with PD-L1 expression ≥50.,"Pembrolizumab plus chemotherapy is currently used in the first-line treatment of advanced non-small-cell lung cancer without  Lay abstract Non-small-cell lung cancer (NSCLC) is the most frequent type of lung cancer. Most NSCLC patients are diagnosed with advanced disease and only 10–15% of them are alive after 5 years. In the absence of specific tumor mutations, the currently recommended treatment is a combination of chemotherapy and immunotherapy with the monoclonal antibody pembrolizumab. The goal of immunotherapy is to prevent cancer from evading the immune system by interacting with molecules expressed at the surface of tumor cells (PD-L1) or immune cells (PD-1). A study comparing chemotherapy plus pembrolizumab versus pembrolizumab alone has never been performed in patients with a high level of PD-L1 expression on tumor cells. Therefore we designed the PERSEE study to compare these treatments in advanced-stage NSCLC patients with PD-L1 expression on ≥50% of tumor cells.",pubmed_semantic_data\xml_files\NCT04547504_34156285.xml,12.275390625,PubMed
NCT04624204,35613997,Rationale and Design of the Phase 3 KEYLYNK-013 Study of Pembrolizumab With Concurrent Chemoradiotherapy Followed by Pembrolizumab With or Without Olaparib for Limited-Stage Small-Cell Lung Cancer.,"BACKGROUND: The current standard of care for patients with newly diagnosed limited-stage small-cell lung cancer (SCLC) is concurrent chemoradiotherapy (CCRT). The prognosis remains poor due to the aggressiveness and high risk of progression or relapse of SCLC even if an initial response is achieved. Therefore, there is an urgent unmet clinical need in this population. The multicenter, phase 3, randomized, placebo-controlled, double-blind KEYLYNK-013 study evaluates the addition of pembrolizumab to CCRT followed by pembrolizumab with or without olaparib in participants with previously untreated limited-stage SCLC. (ClinicalTrials.gov: NCT04624204). METHODS: Eligible participants aged ≥18 years with newly diagnosed, pathologically confirmed, limited-stage (ie, stage I-III) SCLC will be randomized 1:1:1 to CCRT (ie, etoposide plus carboplatin or cisplatin for 4 cycles and standard thoracic radiotherapy) plus pembrolizumab (Groups A and B) or CCRT plus placebo (Group C). In the absence of disease progression, participants will receive pembrolizumab plus placebo (Group A), pembrolizumab plus olaparib (Group B), or placebo (Group C). Dual primary endpoints are progression-free survival per RECIST version 1.1 by blinded independent central review and overall survival. RESULTS: Enrollment began in December 2020 and is ongoing at approximately 150 sites. CONCLUSIONS: KEYLYNK-013 will provide valuable information on the efficacy and safety of pembrolizumab plus CCRT and pembrolizumab with or without olaparib post CCRT in participants with limited-stage SCLC.",pubmed_semantic_data\xml_files\NCT04624204_35613997.xml,17.388671875,PubMed
NCT04687241,41539318,"Aumolertinib as adjuvant therapy in resected EGFR-mutated non-small-cell lung cancer (ARTS): a double-blind, multicentre, randomised, controlled, phase 3 trial.","BACKGROUND: Patients with resectable non-small-cell lung cancer (NSCLC), particularly those with EGFR mutations, face a high risk of recurrence and mortality post-surgery. Aumolertinib, a third-generation EGFR tyrosine-kinase inhibitor, is approved in China for adjuvant treatment in patients with NSCLC harbouring EGFR with an exon 19 deletion (ex19del) or exon 21 substitution (Leu858Arg) mutation. The ARTS study aimed to evaluate the efficacy and safety of adjuvant therapy with aumolertinib in patients with stage II-IIIB EGFR-mutated NSCLC. METHODS: This double-blind, multicentre, randomised, controlled, phase 3 trial enrolled patients from 48 hospitals in mainland China. Eligible patients were 18 years or older with stage II-IIIB NSCLC, had undergone a complete resection followed by standard adjuvant therapy, and had an EGFR ex19del or Leu858Arg mutation and an Eastern Cooperative Oncology Group performance status score of 0 or 1. Patients were stratified by EGFR mutation status and tumour stage and were randomly assigned (1:1) to receive aumolertinib 110 mg or placebo orally, once daily for 3 years or until disease recurrence or other discontinuation criteria were met. Patients were randomly allocated to groups using an interactive web response system; the double‑dummy technique masked patients, investigators, and assessors. The primary endpoint was disease-free survival in the modified intention-to treat (mITT) population (ie, all patients with stage II-IIIB NSCLC harbouring EGFR mutations who had undergone complete tumour resection and standard adjuvant therapy), assessed by blinded independent central review (BICR). Safety was assessed in all patients who received at least one dose of study treatment. Although the study is ongoing, with some patients remaining in follow-up, this analysis represents the protocol-specified primary analysis. This study is registered with ClinicalTrials.gov (NCT04687241). FINDINGS: Between April 30, 2021, and May 17, 2022, 399 indi",pubmed_semantic_data\xml_files\NCT04687241_41539318.xml,12.1259765625,PubMed
NCT04878016,39800716,"A multicenter, randomized, double-blind, placebo-controlled phase 3 study of Socazolimab or placebo combined with carboplatin and etoposide in the first-line treatment of extensive-stage small cell lung cancer.","This is a randomized, double-blind, placebo-controlled phase 3 clinical trial (ClinicalTrials.gov, NCT04878016) conducted in 54 hospitals in China. Adults who were histologically diagnosed and never treated for extensive-stage small cell lung cancer (ES-SCLC) were enrolled. Eligible Patients were randomly assigned (1:1) to receive four cycles (21 days as one cycle) of intravenous carboplatin (area under the curve of 5 mg/mL per min, day 1 of each cycle) and etoposide (100 mg/m² of body-surface area, on days 1-3 of each cycle) with either socazolimab (5 mg/kg, day 1 of each cycle) or matching placebo, following maintenance therapy with socazolimab or placebo. From July 15, 2021, to May 12, 2022, 498 eligible patients were randomly assigned to receive socazolimab (250 patients) or placebo (248 patients) combined with chemotherapy. As of October 13, 2023, patients treated with socazolimab presented significant overall survival (OS) benefit (13.90 months) compared with the placebo plus EC group (11.58 months) (hazard ratio for death, 0.799; 95% CI, 0.652-0.979; p = 0.0158). The median progression free survival (PFS) was 5.55 months in the socazolimab plus EC group, prolonging disease progression or death by nearly 1.2 months (5.55 months vs 4.37 months, hazard ratio for progression or death, 0.569; 95% CI, 0.457-0.708; p < 0.0001). 200 (80.3%) patients in the socazolimab plus EC group experienced ≥ grade 3 treatment-related adverse events and 187 (75.7%) patients occurred in the placebo plus EC group. Socazolimab combined with standard EC regimen chemotherapy for first-line treatment of ES-SCLC significantly prolonged overall survival and did not increase the safety risk of treatment.",pubmed_semantic_data\xml_files\NCT04878016_39800716.xml,25.423828125,PubMed
NCT04923945,39270695,"Savolitinib in patients in China with locally advanced or metastatic treatment-naive non-small-cell lung cancer harbouring MET exon 14 skipping mutations: results from a single-arm, multicohort, multicentre, open-label, phase 3b confirmatory study.","BACKGROUND: Savolitinib has been approved in China for advanced or metastatic non-small-cell lung cancer (NSCLC) with MET exon 14 (METex14) skipping alterations in previously treated patients and those unable to receive platinum-based chemotherapy. We report results from a treatment-naive cohort of a phase 3b study that was designed to evaluate the efficacy and safety of savolitinib in locally advanced or metastatic METex14-mutated NSCLC. METHODS: This single-arm, multicohort, multicentre, open-label, phase 3b study was done at 48 hospitals in China in adult (≥18 years) patients with locally advanced or metastatic METex14-mutated NSCLC who had not received previous systemic antitumour therapy. Patients with a bodyweight of 50 kg or more and those with a bodyweight of less than 50 kg received savolitinib once daily at 600 mg or 400 mg, respectively, in 21-day cycles. The primary endpoint was objective response rate assessed by independent review committee (IRC) per Response Evaluation Criteria in Solid Tumours, version 1.1. The full analysis set comprised all patients who received at least one dose of study medication, which was used to assess the efficacy endpoints and baseline and safety data. This study is registered with ClinicalTrials.gov (NCT04923945) and is closed to accrual. FINDINGS: Between Aug 31, 2021, and Oct 20, 2023, 125 treatment-naive patients were assessed for eligibility, of whom 87 were enrolled and received savolitinib. The median age of patients was 70·0 years (IQR 65·2-75·8) and 51 (59%) of 87 patients were male and 36 (41%) were female. In the full analysis set, the IRC-assessed objective response rate was 62% (95% CI 51-72) and the investigator-assessed objective response rate was 60% (49-70), showing a high concordance rate (84%). Treatment-related adverse events were reported in 85 (98%) of 87 patients, with peripheral oedema (54 [62%]) being the most common. Two of these treatment-related adverse events led to death (cardiac failure n=1, u",pubmed_semantic_data\xml_files\NCT04923945_39270695.xml,21.6591796875,PubMed
NCT05120349,36872181,Adjuvant Osimertinib vs. Placebo in Completely Resected Stage IA2-IA3 EGFR-Mutated NSCLC: ADAURA2.,"INTRODUCTION: Osimertinib is a third-generation, irreversible, oral epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI) that potently and selectively inhibits both EGFR-TKI sensitizing and EGFR T790M resistance mutations, with demonstrated efficacy in EGFR mutation-positive (EGFRm) non-small cell lung cancer (NSCLC), including central nervous system (CNS) metastases. Here we present the rationale and study design for ADAURA2 (NCT05120349), which will evaluate adjuvant osimertinib vs. placebo in patients with stage IA2-IA3 EGFRm NSCLC, following complete tumor resection. PATIENTS AND METHODS: ADAURA2 is a phase III, global, randomized, double-blind, placebo-controlled study. Patients will be adults aged ≥18 years with resected primary nonsquamous NSCLC stage IA2 or IA3 and central confirmation of an EGFR exon 19 deletion or L858R mutation. Patients will be stratified by pathologic risk of disease recurrence (high vs. low), EGFR mutation type (exon 19 deletion vs. L858R) and race (Chinese Asian vs. non-Chinese Asian vs. non-Asian), and randomized 1:1 to receive osimertinib 80 mg once daily (QD) or placebo QD until disease recurrence, treatment discontinuation, or a maximum treatment duration of 3 years. The primary endpoint of this study is disease-free survival (DFS) in the high-risk stratum. Secondary endpoints include DFS in the overall population, overall survival, CNS DFS, and safety. Health-related quality of life and pharmacokinetics will also be evaluated. RESULTS: Study enrolment began in February 2022 and interim results of the primary endpoint are expected in August 2027.",pubmed_semantic_data\xml_files\NCT05120349_36872181.xml,11.458984375,PubMed
NCT05184712,38820549,Ivonescimab Plus Chemotherapy in Non-Small Cell Lung Cancer With EGFR Variant: A Randomized Clinical Trial.,"IMPORTANCE: For patients with non-small cell lung cancer whose disease progressed while receiving EGFR tyrosine kinase inhibitor (EGFR-TKI) therapy, particularly third-generation TKIs, optimal treatment options remain limited. OBJECTIVE: To compare the efficacy of ivonescimab plus chemotherapy with chemotherapy alone for patients with relapsed advanced or metastatic non-small cell lung cancer with the epidermal growth factor receptor (EGFR) variant. DESIGN, SETTING, AND PARTICIPANTS: Double-blind, placebo-controlled, randomized, phase 3 trial at 55 sites in China enrolled participants from January 2022 to November 2022; a total of 322 eligible patients were enrolled. INTERVENTIONS: Participants received ivonescimab (n = 161) or placebo (n = 161) plus pemetrexed and carboplatin once every 3 weeks for 4 cycles, followed by maintenance therapy of ivonescimab plus pemetrexed or placebo plus pemetrexed. MAIN OUTCOMES AND MEASURES: The primary end point was progression-free survival in the intention-to-treat population assessed by an independent radiographic review committee (IRRC) per Response Evaluation Criteria in Solid Tumors version 1.1. The results of the first planned interim analysis are reported. RESULTS: Among 322 enrolled patients in the ivonescimab and placebo groups, the median age was 59.6 vs 59.4 years and 52.2% vs 50.9% of patients were female. As of March 10, 2023, median follow-up time was 7.89 months. Median progression-free survival was 7.1 (95% CI, 5.9-8.7) months in the ivonescimab group vs 4.8 (95% CI, 4.2-5.6) months for placebo (difference, 2.3 months; hazard ratio [HR], 0.46 [95% CI, 0.34-0.62]; P < .001). The prespecified subgroup analysis showed progression-free survival benefit favoring patients receiving ivonescimab over placebo across almost all subgroups, including patients whose disease progressed while receiving third-generation EGFR-TKI therapy (HR, 0.48 [95% CI 0.35-0.66]) and those with brain metastases (HR, 0.40 [95% CI, 0.22-0.73]). ",pubmed_semantic_data\xml_files\NCT05184712_38820549.xml,36.35546875,PubMed
NCT05221840,39023287,PACIFIC-9: Phase III trial of durvalumab + oleclumab or monalizumab in unresectable stage III non-small-cell lung cancer.,"Evidence from the Phase III PACIFIC trial established durvalumab, a monoclonal antibody (mAb) targeting PD-L1, following concurrent chemoradiotherapy (cCRT) as a global standard of care for patients with unresectable, stage III non-small-cell lung cancer (NSCLC). There remains an unmet need to improve upon the outcomes achieved with the PACIFIC regimen. Combining durvalumab with other immunotherapies may improve outcomes further. Two such immunotherapies include oleclumab, an mAb targeting CD73, and monalizumab, an mAb targeting NKG2A. Both agents demonstrated antitumor activity in early-phase trials. PACIFIC-9 (NCT05221840) is an international, double-blind, randomized, placebo-controlled, Phase III trial comparing durvalumab plus either oleclumab or monalizumab with durvalumab plus placebo in patients with unresectable, stage III NSCLC and no disease progression following cCRT. Durvalumab is a treatment that helps the body's immune system to identify and attack cancer cells by binding to a protein called PD-L1. Studies show that durvalumab lowers the risk of cancer growing or spreading, and prolongs survival, when administered after chemotherapy and radiation therapy (‘chemoradiotherapy’) in patients with a type of lung cancer called stage III non-small-cell lung cancer (NSCLC) for whom surgery is not an option.Two antibody treatments have been developed that may help a patient's immune system to identify and attack cancer cells. Oleclumab binds to a protein on cancer cells called CD73, which prevents the production of adenosine, a chemical that obstructs the immune system from attacking the cancer. Monalizumab binds to NKG2A, a protein on immune cells that inhibits their ability to destroy cancer cells. Early studies suggest that combining either of these treatments with durvalumab may be better than durvalumab alone for slowing the growth and spread of cancer in patients with NSCLC.PACIFIC-9 is a study that aims to recruit approximately 999 patients with stage I",pubmed_semantic_data\xml_files\NCT05221840_39023287.xml,40.8447265625,PubMed
NCT05318443,37452849,"Outcome benefits of bevacizumab biosimilar (SIBP04) combined with carboplatin and paclitaxel in advanced non-squamous non-small-cell lung cancer patients with EGFR mutation: subgroup analysis of a prospective, randomized phase III clinical trial.","PURPOSE: SIBP04 is a bevacizumab biosimilar, and bevacizumab combined with carboplatin and paclitaxel in advanced non-squamous non-small-cell lung cancer (nsqNSCLC) has been recommended as the first-line treatment choice. However, the efforts of bevacizumab combined with carboplatin and paclitaxel for nsqNSCLC patients with EGFR mutation remained unclear. Here we report an EGFR mutation subgroup analysis of a prospective, randomized phase III clinical trial (NCT05318443). METHODS: In this randomized, double-blind, multi-center, parallel controlled, phase III clinical trial, locally advanced, metastatic NSCLC patients were enrolled, and EGFR expression was examined and considered as a stratification factor. All patients received 4 to 6 cycles of paclitaxel and carboplatin plus SIBP04 or bevacizumab 15 mg/kg intravenously followed by SIBP04 15 mg/kg maintenance until intolerable toxicity, disease progression or death. Patients with EGFR mutation and wild-type were assessed for progression-free survival (PFS) and overall survival (OS). RESULTS: EGFR expression was examined in 398 NSCLC patients (142 with EGFR mutation, 256 with EGFR wild type). PFS in EGFR mutation patients was significantly longer than EGFR wild-type patients (10.91 vs. 7.82 months; HR = 0.692, 95% CI 0.519-0.921, P = 0.011). The median OS in patients with EGFR mutation was not reached while that of EGFR wild-type group was 17.54 months (HR = 0.398, 95% CI 0.275-0.575, P < 0.001). However, there were no significant differences in objective response rate (61.97% vs. 55.86%, P = 0.237) or disease control rate (90.14% vs. 89.84%, P = 0.925). CONCLUSION: Bevacizumab combined with chemotherapy significantly prolonged the PFS and OS of advanced nsqNSCLC patients with EGFR mutation.",pubmed_semantic_data\xml_files\NCT05318443_37452849.xml,20.7119140625,PubMed
